"id","name","os","status","account","dept","division","owner","storage","cpu","memory"
"3382","lib-arxiv-012.serverfarm.cornell.edu","Linux","Active","L683714","DIGITAL LIBRARY AND INFORM TECH","","cam2","236","2 physical, 2 logical","11908 (12288)"
"3383","sf-infranode433.serverfarm.cornell.edu","Linux","Active","R524870","CIT","Systems & Operations","ljc1","57","6 physical, 6 logical","5848 (6144)"
"3384","lib-arxiv-014.serverfarm.cornell.edu","Linux","Active","L683714","DIGITAL LIBRARY AND INFORM TECH","","cam2","145","6 physical, 6 logical","5848 (6144)"
"3385","lib-arxiv-013.serverfarm.cornell.edu","Linux","Active","L683714","DIGITAL LIBRARY AND INFORM TECH","","cam2","145","6 physical, 6 logical","5848 (6144)"
"3386","lib-euclid-001.serverfarm.cornell.edu","Linux","Active","L683720","DIGITAL LIBRARY AND INFORM TECH","","cam2","838","4 physical, 4 logical","3828 (4096)"
"3387","acadtech10.serverfarm.cornell.edu","Linux","Gone","R554733","CIT","Academic Technology Services & User Support","tam42","310","1 physical, 1 logical","2026 (2048)"
"3388","sf-lib-inf-004.serverfarm.cornell.edu","Linux","Active","L854711","DIGITAL LIBRARY AND INFORM TECH","","cam2","236","4 physical, 4 logical","7868 (8192)"
"3389","sf-vm-pacs-001","Windows","Gone","4933383","CORNELL UNIVERSITY HOSPITAL FOR ANIMALS","","afm2","359","1 Physical, 4 Logical","10239 (10240)"
"3390","sf-vm-pacs-002","Windows","Gone","4933383","CORNELL UNIVERSITY HOSPITAL FOR ANIMALS","","afm2","359","1 Physical, 4 Logical","10239 (10240)"
"3391","sf-vm-pacs-003","Windows","Gone","4933383","CORNELL UNIVERSITY HOSPITAL FOR ANIMALS","","afm2","109","1 Physical, 1 Logical","2047 (2048)"
"3392","sf-fs-dbs-008","Windows","Active","G413704","FACILITIES OPERATIONS","","tdd29","179","1 Physical, 1 Logical","6143 (6144)"
"3393","sf-fs-dbs-009","Windows","Active","G413704","FACILITIES OPERATIONS","","tdd29","179","1 Physical, 1 Logical","6143 (6144)"
"3394","sf-lib-app-012.serverfarm.cornell.edu","Linux","Active","L853721","DIGITAL LIBRARY AND INFORM TECH","","cam2","196","2 physical, 2 logical","3828 (4096)"
"3396","sf-infranode434","Windows","Gone","R554702","CIT","Office of Administration","amb3","709","1 Physical, 1 Logical","8191 (8192)"
"3397","sf-lib-app-013.serverfarm.cornell.edu","Linux","Active","L918307","OLIN Library","","cam2","116","2 physical, 2 logical","3828 (4096)"
"3398","ahab4.ornith.cornell.edu","Linux","Active","1718961","LABORATORY OF ORNITHOLOGY","","crp11","47","1 physical, 1 logical","3828 (4096)"
"3399","ahab5.ornith.cornell.edu","Linux","Active","1718961","LABORATORY OF ORNITHOLOGY","","crp11","1030","1 physical, 1 logical","3828 (4096)"
"3400","bmw092.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","126","2 physical, 2 logical","7868 (8192)"
"3402","sf-dfacit-fs-06","Windows","Active","G104700","FINANCIAL SYSTEMS","","amb3","759","1 Physical, 1 Logical","8191 (8192)"
"3403","lsitools.serverfarm.cornell.edu","Linux","Gone","R524870","CIT","Systems & Operations","ljc1","38","2 physical, 16 logical","7925 ()"
"3404","webhost006.serverfarm.cornell.edu","Linux","Gone","R704755","CIT","Information Systems","sml34","67","1 physical, 1 logical","1873 (2048)"
"3405","cork34.serverfarm.cornell.edu","Linux","Gone","R704710","CIT","IT Security","se10","52","1 physical, 1 logical","2009 (2048)"
"3406","oxton131.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","185","1 physical, 1 logical","1873 (2048)"
"3407","oxton132.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","186","2 physical, 2 logical","3828 (4096)"
"3408","sf-fs-tweb-009","Windows","Gone","G413704","FACILITIES OPERATIONS","","tdd29","149","2 Physical, 2 Logical","8191 (8192)"
"3409","sf-fs-tweb-010","Windows","Gone","G413704","FACILITIES OPERATIONS","","tdd29","149","2 Physical, 2 Logical","8191 (8192)"
"3410","sf-as-ops-002","Windows","Active","A514114","COLLEGE OF ARTS AND SCIENCES","","rwg1","139","1 Physical, 1 Logical","4095 (4096)"
"3411","kuali185.serverfarm.cornell.edu","Linux","Gone","R704750","CIT","Information Systems","sjc37","86","1 physical, 1 logical","3828 (4096)"
"3412","sf-fs-srv-015","Windows","Active","G413704","FACILITIES OPERATIONS","","tdd29","3511","2 Physical, 2 Logical","8191 (8192)"
"3413","husky04.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","135","1 physical, 1 logical","1873 (2048)"
"3414","sf-integr-np001.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","vm57","145","2 physical, 2 logical","7868 (8192)"
"3415","alva05.serverfarm.cornell.edu","Linux","Gone","R524717","CIT","Support","pb10","536","1 physical, 1 logical","2026 (2048)"
"3416","limerock06.mail.cornell.edu","Linux","Active","R524717","CIT","Support","pb10","391","2 physical, 2 logical","3828 (4096)"
"3417","limerock05.mail.cornell.edu","Linux","Active","R524717","CIT","Support","pb10","391","2 physical, 2 logical","3828 (4096)"
"3418","limerock07.mail.cornell.edu","Linux","Active","R524717","CIT","Support","pb10","391","4 physical, 4 logical","3828 (4096)"
"3419","sf-york28","Windows","Active","R534713","CIT","Network & Communication Services","amp53","179","2 Physical, 2 Logical","8191 (8192)"
"3420","sf-york29","Windows","Active","R534713","CIT","Network & Communication Services","amp53","179","2 Physical, 2 Logical","8191 (8192)"
"3421","sf-capps-004.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","vm57","578","2 physical, 2 logical","7868 (8192)"
"3422","sf-capps-np002.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","vm57","578","2 physical, 2 logical","7868 (8192)"
"3426","tahoe01.serverfarm.cornell.edu","Linux","Active","P753705","FACILITIES OPERATIONS","","mem25","86","2 physical, 2 logical","1873 (2048)"
"3427","tahoe02.serverfarm.cornell.edu","Linux","Active","P753705","FACILITIES OPERATIONS","","mem25","86","2 physical, 2 logical","3828 (4096)"
"3428","sf-integr-np002.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","vm57","136","2 physical, 2 logical","7868 (8192)"
"3429","kuali186.serverfarm.cornell.edu","Linux","Gone","R704750","CIT","Information Systems","sjc37","87","2 physical, 2 logical","7981 (8192)"
"3430","sassimphony1","Windows","Gone","G123008","SAS IT Enterprise","","jm739","149","2 Physical, 2 Logical","8191 ()"
"3431","sassimphony3","Windows","Gone","G123008","SAS IT Enterprise","","jm739","149","2 Physical, 2 Logical","8191 ()"
"3432","cisco-vcs-c","Appliance","Gone","R534713","CIT","Network & Communication Services","amp53","0","Not Provided","Not Provided (4096)"
"3433","cisco-vcs-e","Appliance","Gone","R534713","CIT","Network & Communication Services","amp53","0","Not Provided","Not Provided (4096)"
"3434","pexip-inf","Appliance","Co-Hosted","R534713","CIT","Network & Communication Services","amp53","0","Not Provided","Not Provided (2048)"
"3435","sf-york30","Windows","Active","R534713","CIT","Network & Communication Services","amp53","159","1 Physical, 1 Logical","4095 (4096)"
"3436","bmw093.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","161","2 physical, 2 logical","7868 (8192)"
"3437","sf-lib-app-014.serverfarm.cornell.edu","Linux","Active","L914707","CALS Mann Library","DIGITAL LIBRARY SUPPORT","cam2","116","2 physical, 2 logical","1873 (2048)"
"3438","bmw094.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","703","1 physical, 1 logical","3828 (4096)"
"3439","bmw095.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","829","4 physical, 4 logical","7868 (8192)"
"3440","bmw096.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","303","1 physical, 1 logical","3828 (4096)"
"3441","bmw097.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","303","2 physical, 2 logical","3828 (4096)"
"3442","bmw098.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","406","1 physical, 1 logical","3828 (4096)"
"3452","sf-kualibuild02","Windows","Gone","R704750","CIT","Information Systems","sjc37","119","1 Physical, 1 Logical","2047 (2048)"
"3453","lib-ld-001.serverfarm.cornell.edu","Linux","Active","L858309","DIGITAL LIBRARY AND INFORM TECH","","cam2","116","2 physical, 2 logical","7868 (8192)"
"3454","sf-pacs1","Windows","Active","4933383","CORNELL UNIVERSITY HOSPITAL FOR ANIMALS","","slk9","8592","4 Physical, 4 Logical","24575 (24576)"
"3455","sf-xcapps-np002.serverfarm.cornell.edu","Linux","Gone","R704750","CIT","Information Systems","vm57","87","2 physical, 2 logical","3829 (4096)"
"3456","sf-pacs2","Windows","Active","4933383","CORNELL UNIVERSITY HOSPITAL FOR ANIMALS","","slk9","8182","4 Physical, 4 Logical","16383 (16384)"
"3457","sf-pacs3","Windows","Gone","4933383","CORNELL UNIVERSITY HOSPITAL FOR ANIMALS","","slk9","2033","1 Physical, 1 Logical","4095 (4096)"
"3458","xwebhost003.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sml34","67","1 physical, 1 logical","1873 (2048)"
"3459","xwebhost004.serverfarm.cornell.edu","Linux","Decommission","R704750","CIT","Information Systems","sml34","67","1 physical, 1 logical","1873 (2048)"
"3460","xwebhost005.serverfarm.cornell.edu","Linux","Decommission","R704750","CIT","Information Systems","sml34","67","1 physical, 1 logical","1873 (2048)"
"3461","deedee01.ornith.cornell.edu","Linux","Active","1718460","LABORATORY OF ORNITHOLOGY","","crp11","185","2 physical, 2 logical","992 (1024)"
"3462","sf-obiee11g07","Windows","Active","R704752","CIT","Information Systems","ard1","230","1 Physical, 1 Logical","8191 (8192)"
"3463","sf-integr-001.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","vm57","86","2 physical, 2 logical","7868 (8192)"
"3464","sf-integr-002.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","vm57","86","2 physical, 2 logical","7868 (8192)"
"3465","sf-integr-np003.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","vm57","86","2 physical, 2 logical","7868 (8192)"
"3466","sf-integr-np004.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","vm57","86","2 physical, 2 logical","7868 (8192)"
"3467","alva05.mail.cornell.edu","Linux","Gone","R524717","CIT","Support","pb10","424","2 physical, 2 logical","3828 (4096)"
"3468","lib-arxiv-015.serverfarm.cornell.edu","Linux","Active","L683714","DIGITAL LIBRARY AND INFORM TECH","","cam2","135","4 physical, 4 logical","7868 (8192)"
"3469","sf-vm-vetz-001","Windows","Gone","4943201","AVP Operations","","afm2","609","2 Physical, 2 Logical","8191 (8192)"
"3470","sf-vm-vetz-002","Windows","Gone","4943201","AVP Operations","","afm2","159","1 Physical, 1 Logical","2047 (2048)"
"3471","sf-ecm-np005","Windows","Active","R704750","CIT","Information Systems","vm57","139","2 Physical, 2 Logical","2047 (2048)"
"3472","sf-ecm-np006","Windows","Active","R704750","CIT","Information Systems","vm57","139","2 Physical, 2 Logical","2047 (2048)"
"3473","sf-sas-g-ap003","Windows","Active","G124708","SAS","ADMISSIONS AND FINANCIAL AID","mm129","279","2 Physical, 2 Logical","16383 (16384)"
"3474","sf-vanilla07","Windows","Active","R524881","CIT","Systems & Operations","frb29","119","1 Physical, 1 Logical","2047 (2048)"
"3475","kuali187.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sjc37","47","2 physical, 2 logical","7868 (8192)"
"3476","kuali188.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sjc37","47","2 physical, 2 logical","7868 (8192)"
"3477","kuali189.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sjc37","47","2 physical, 2 logical","7868 (8192)"
"3478","kuali190.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sjc37","47","2 physical, 2 logical","7868 (8192)"
"3479","kuali191.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sjc37","47","2 physical, 2 logical","7868 (8192)"
"3480","kuali192.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sjc37","47","2 physical, 2 logical","7868 (8192)"
"3481","kuali193.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sjc37","47","2 physical, 2 logical","7868 (8192)"
"3482","kuali195.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sjc37","47","2 physical, 2 logical","7868 (8192)"
"3483","kuali194.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sjc37","47","2 physical, 2 logical","7868 (8192)"
"3484","kuali196.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sjc37","47","2 physical, 2 logical","7868 (8192)"
"3485","kuali197.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sjc37","47","2 physical, 2 logical","7868 (8192)"
"3486","alva06.mail.cornell.edu","Linux","Gone","R524717","CIT","Support","pb10","424","2 physical, 2 logical","3828 (4096)"
"3487","bmw099.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","jrc42","726","4 physical, 4 logical","15947 (16384)"
"3488","pexip-conf","Appliance","Co-Hosted","R534713","CIT","Network & Communication Services","amp53","0","Not Provided","Not Provided (4096)"
"3489","oxton133.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","150","1 physical, 1 logical","3828 (4096)"
"3490","bmw100.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","155","1 physical, 1 logical","5848 (6144)"
"3491","cork35.serverfarm.cornell.edu","Linux","Active","R704710","CIT","IT Security","se10","52","1 physical, 1 logical","1873 (2048)"
"3492","cork36.serverfarm.cornell.edu","Linux","Active","R704710","CIT","IT Security","se10","52","1 physical, 1 logical","1873 (2048)"
"3493","bmw101.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","145","1 physical, 1 logical","3828 (4096)"
"3494","sf-infranode049","Windows","Gone","R524870","CIT","Systems & Operations","ljc1","89","2 Physical, 2 Logical","8191 (8192)"
"3495","alva04.mail.cornell.edu","Linux","Gone","R524717","CIT","Support","pb10","424","2 physical, 2 logical","7868 (8192)"
"3496","sf-fs-tdbs-003","Windows","Gone","R513845","CIT","","pb10","1615","1 Physical, 4 Logical","32767 (32768)"
"3498","brooklyn1-60c.net.cornell.edu","Appliance","Gone"," "," "," ","","0","Not Provided","Not Provided ()"
"3500","bmw102.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","116","1 physical, 1 logical","3947 (4096)"
"3501","sf-lib-dig-014.serverfarm.cornell.edu","Linux","Active","L854711","DIGITAL LIBRARY AND INFORM TECH","","cam2","431","2 physical, 2 logical","7868 (8192)"
"3502","sf-lib-dig-015.serverfarm.cornell.edu","Linux","Active","L854711","DIGITAL LIBRARY AND INFORM TECH","","cam2","436","2 physical, 2 logical","3828 (4096)"
"3503","norway11.serverfarm.cornell.edu","ESX","Active","R524850","CIT","Systems & Operations","ljc1","0","Not Provided","Not Provided (262109)"
"3504","lib-dev-020.serverfarm.cornell.edu","Linux","Active","L854711","DIGITAL LIBRARY AND INFORM TECH","","cam2","234","2 physical, 2 logical","7868 (8192)"
"3505","sf-infranode050.serverfarm.cornell.edu","Linux","Active","R524870","CIT","Systems & Operations","ljc1","67","1 physical, 1 logical","1873 (2048)"
"3506","sf-fs-tweb-011","Windows","Gone","G413704","FACILITIES OPERATIONS","","tdd29","579","1 Physical, 4 Logical","24575 (24576)"
"3507","sf-esirius-01","Windows","Active","G474803","OFFICE OF VICE PROVOST FOR RESEARCH","RAIS - GP ALLOCATION","zj52","159","4 Physical, 4 Logical","6143 (6144)"
"3508","sf-wick06","Windows","Gone","R524870","CIT","Systems & Operations","ljc1","64","1 Physical, 1 Logical","8191 (8192)"
"3509","sf-wick10","Windows","Active","R524870","CIT","Systems & Operations","ljc1","84","1 Physical, 1 Logical","8191 (8192)"
"3510","bmw103.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","199","2 physical, 2 logical","3828 (4096)"
"3511","bmw104.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","199","2 physical, 2 logical","3828 (4096)"
"3512","bmw105.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","199","2 physical, 2 logical","3828 (4096)"
"3513","bmw106.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","199","2 physical, 2 logical","3828 (4096)"
"3514","bmw107.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","199","2 physical, 2 logical","3828 (4096)"
"3515","sf-wick05","Windows","Gone","R524870","CIT","Systems & Operations","ljc1","64","1 Physical, 1 Logical","8191 (8192)"
"3516","sf-wick11","Windows","Active","R524870","CIT","Systems & Operations","ljc1","84","1 Physical, 1 Logical","8191 (8192)"
"3517","sf-citdsrv-020","Windows","Active","R554702","CIT","Office of Administration","amb3","1859","2 Physical, 2 Logical","4095 (4096)"
"3518","vcs","Appliance","Co-Hosted","R534713","CIT","Network & Communication Services","amp53","0","Not Provided","Not Provided (4096)"
"3519","vcse","Appliance","Co-Hosted","R534713","CIT","Network & Communication Services","amp53","0","Not Provided","Not Provided (4096)"
"3520","sf-sas-app-007","Windows","Active","G123008","SAS IT Enterprise","","mm129","129","1 Physical, 1 Logical","2047 (2048)"
"3521","sf-sas-app-008","Windows","Active","G123008","SAS IT Enterprise","","mm129","129","4 Physical, 4 Logical","8191 (8192)"
"3522","sf-dublin10","Windows","Active","R534713","CIT","Network & Communication Services","amp53","279","1 Physical, 1 Logical","4095 (4096)"
"3523","bmw108.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","150","1 physical, 1 logical","3828 (4096)"
"3524","bmw109.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","86","1 physical, 1 logical","1873 (2048)"
"3525","bmw110.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","86","1 physical, 1 logical","1873 (2048)"
"3526","sf-vdivchbrh","Windows","Gone","R524870","CIT","Systems & Operations","ljc1","274","4 Physical, 4 Logical","12287 (12288)"
"3527","sf-infranode436","Windows","Active","R524870","CIT","Systems & Operations","ljc1","69","4 Physical, 4 Logical","10239 (10240)"
"3528","sf-infranode437","Windows","Active","R524870","CIT","Systems & Operations","ljc1","69","4 Physical, 4 Logical","10239 (10240)"
"3529","sf-xcapps-np003.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","vm57","116","1 physical, 1 logical","992 (1024)"
"3530","sf-infranode438","Windows","Active","R524870","CIT","Systems & Operations","ljc1","69","4 Physical, 4 Logical","10239 (10240)"
"3531","sf-infranode439","Windows","Active","R524870","CIT","Systems & Operations","ljc1","69","4 Physical, 4 Logical","10239 (10240)"
"3532","webhost007.serverfarm.cornell.edu","Linux","Gone","R704755","CIT","Information Systems","sml34","106","1 physical, 1 logical","3828 (4096)"
"3533","kuali198.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sjc37","47","2 physical, 2 logical","7868 (8192)"
"3534","amp01","Appliance","Gone","R532512","CIT","Network & Communication Services","ljc1","0","Not Provided","Not Provided (98304)"
"3535","tms","Appliance","Co-Hosted","R534713","CIT","Network & Communication Services","amp53","0","Not Provided","Not Provided (6144)"
"3536","norway12.serverfarm.cornell.edu","ESX","Active","R524850","CIT","Systems & Operations","ljc1","0","Not Provided","Not Provided (262109)"
"3537","oxton134.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","200","1 physical, 1 logical","3828 (4096)"
"3543","netappsim01","Appliance","Decommission","R524883","CIT","Systems & Operations","psz1","0","Not Provided","Not Provided (4096)"
"3544","netappsim02","Appliance","Co-Hosted","R524883","CIT","Systems & Operations","psz1","0","Not Provided","Not Provided (8192)"
"3545","sf-lib-web-007.serverfarm.cornell.edu","Linux","Active","L854711","DIGITAL LIBRARY AND INFORM TECH","","cam2","333","2 physical, 2 logical","3828 (4096)"
"3546","india10.serverfarm.cornell.edu","ESX","Active","R524850","CIT","Systems & Operations","ljc1","0","Not Provided","Not Provided (196597)"
"3547","sf-infranode525.serverfarm.cornell.edu","Linux","Gone","R524870","CIT","Systems & Operations","ljc1","42","1 physical, 1 logical","992 (1024)"
"3548","sf-sas-web-110.serverfarm.cornell.edu","Linux","Active","G123008","SAS IT Enterprise","","mm129","116","2 physical, 2 logical","3828 (4096)"
"3549","ashford10.serverfarm.cornell.edu","Linux","Gone","R704750","CIT","Information Systems","sjc37","234","2 physical, 2 logical","7868 (8192)"
"3550","sf-clearpass3","Appliance","Co-Hosted","R532512","CIT","Network & Communication Services","ljc1","0","Not Provided","Not Provided (16384)"
"3551","sf-clearpass1","Appliance","Co-Hosted","R532512","CIT","Network & Communication Services","ljc1","0","Not Provided","Not Provided (16384)"
"3552","sf-clearpass2","Appliance","Co-Hosted","R532512","CIT","Network & Communication Services","ljc1","0","Not Provided","Not Provided (16384)"
"3553","sf-fs-srv-016","Windows","Gone","G413704","FACILITIES OPERATIONS","","tdd29","149","1 Physical, 1 Logical","2047 (2048)"
"3554","sf-chipotle01","Windows","Gone","R534702","CIT","Information Systems","gm228","119","4 Physical, 4 Logical","8191 (8192)"
"3555","sf-chipotle02","Windows","Gone","R534702","CIT","Information Systems","gm228","119","4 Physical, 4 Logical","8191 (8192)"
"3556","sf-chipotle03","Windows","Gone","R534702","CIT","Information Systems","gm228","119","4 Physical, 4 Logical","8191 (8192)"
"3557","sf-chipotle04","Windows","Gone","R534702","CIT","Information Systems","gm228","119","4 Physical, 4 Logical","8191 (8192)"
"3558","sf-acadtech11","Windows","Gone","R554722","CIT","Academic Technology Services & User Support","cv36","149","1 Physical, 1 Logical","6143 (6144)"
"3559","sf-ecm-np008","Windows","Gone","R704750","CIT","Information Systems","vm57","479","2 Physical, 2 Logical","2047 (2048)"
"3560","sf-ecm-np007","Windows","Gone","R704750","CIT","Information Systems","vm57","479","2 Physical, 2 Logical","2047 (2048)"
"3561","sf-infranode526.serverfarm.cornell.edu","Linux","Active","R524870","CIT","Systems & Operations","ljc1","86","1 physical, 1 logical","992 (1024)"
"3562","sf-obiee11g08","Windows","Active","R704752","CIT","Information Systems","ard1","209","1 Physical, 1 Logical","8191 (8192)"
"3563","bmw111.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","145","1 physical, 1 logical","3828 (4096)"
"3564","granada01.mail.cornell.edu","Linux","Active","R524717","CIT","Support","pb10","91","1 physical, 1 logical","3828 (4096)"
"3565","granada02.mail.cornell.edu","Linux","Gone","R524717","CIT","Support","pb10","57","1 physical, 1 logical","3828 (4096)"
"3566","par35.serverfarm.cornell.edu","Linux","Gone","R704710","CIT","IT Security","se10","66","1 physical, 1 logical","1873 (2048)"
"3567","par36.serverfarm.cornell.edu","Linux","Gone","R704710","CIT","IT Security","se10","66","1 physical, 1 logical","1873 (2048)"
"3568","sf-infranode440","Windows","Active","R524870","CIT","Systems & Operations","ljc1","69","2 Physical, 2 Logical","4095 (4096)"
"3569","sf-wick12","Windows","Active","R524870","CIT","Systems & Operations","ljc1","89","1 Physical, 1 Logical","2047 (2048)"
"3570","sassimphony4","Windows","Active","G123008","SAS IT Enterprise","","mm129","2514","2 Physical, 24 Logical","65501 ()"
"3571","sassimphony5","Windows","Active","G123008","SAS IT Enterprise","","jm739","279","2 Physical, 24 Logical","65501 ()"
"3572","sf-infranode051.serverfarm.cornell.edu","Linux","Active","R524870","CIT","Systems & Operations","ljc1","185","2 physical, 2 logical","1873 (2048)"
"3573","sf-infranode527.serverfarm.cornell.edu","Linux","Active","R524870","CIT","Systems & Operations","ljc1","185","2 physical, 2 logical","1873 (2048)"
"3574","sf-fs-web-006","Windows","Gone","G413704","FACILITIES OPERATIONS","","tdd29","149","2 Physical, 2 Logical","8191 (8192)"
"3575","sf-fs-web-007","Windows","Gone","G413704","FACILITIES OPERATIONS","","tdd29","149","2 Physical, 2 Logical","8191 (8192)"
"3576","sf-acadtech12","Windows","Active","R554733","CIT","Academic Technology Services & User Support","tam42","149","1 Physical, 1 Logical","6143 (6144)"
"3577","cork37.serverfarm.cornell.edu","Linux","Active","R704710","CIT","IT Security","se10","52","1 physical, 1 logical","1873 (2048)"
"3578","cork38.serverfarm.cornell.edu","Linux","Active","R704710","CIT","IT Security","se10","52","1 physical, 1 logical","1873 (2048)"
"3579","bmw112.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","150","1 physical, 1 logical","3828 (4096)"
"3580","sf-fs-tsrv-010","Windows","Gone","G413704","FACILITIES OPERATIONS","","tdd29","499","1 Physical, 1 Logical","8191 (8192)"
"3581","cork39.serverfarm.cornell.edu","Linux","Active","R704710","CIT","IT Security","se10","52","1 physical, 1 logical","5848 (6144)"
"3582","cork40.serverfarm.cornell.edu","Linux","Active","R704710","CIT","IT Security","se10","52","1 physical, 1 logical","5848 (6144)"
"3583","cork41.serverfarm.cornell.edu","Linux","Active","R704710","CIT","IT Security","se10","52","1 physical, 1 logical","3828 (4096)"
"3584","cork42.serverfarm.cornell.edu","Linux","Active","R704710","CIT","IT Security","se10","52","1 physical, 1 logical","3828 (4096)"
"3585","cork43.serverfarm.cornell.edu","Linux","Active","R704710","CIT","IT Security","se10","52","1 physical, 1 logical","3828 (4096)"
"3586","xwebhost006.serverfarm.cornell.edu","Linux","Active","G474803","OFFICE OF VICE PROVOST FOR RESEARCH","RAIS - GP ALLOCATION","zj52","175","1 physical, 1 logical","1873 (2048)"
"3587","xwebhost007.serverfarm.cornell.edu","Linux","Active","G474803","OFFICE OF VICE PROVOST FOR RESEARCH","RAIS - GP ALLOCATION","zj52","280","1 physical, 1 logical","1873 (2048)"
"3588","kuali199.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sjc37","47","2 physical, 2 logical","3828 (4096)"
"3589","kuali202.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sjc37","47","2 physical, 2 logical","3828 (4096)"
"3590","kuali200.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sjc37","47","2 physical, 2 logical","3828 (4096)"
"3591","kuali201.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","sjc37","47","2 physical, 2 logical","3828 (4096)"
"3592","sf-kualibuild03","Windows","Gone","G559520","RESEARCH ADMINISTRATION SUPPORT SYSTEM","","sjc37","99","2 Physical, 2 Logical","4095 (4096)"
"3593","audi3.serverfarm.cornell.edu","Linux","Gone"," "," "," ","","666","2 physical, 16 logical","24018 ()"
"3594","audi4.serverfarm.cornell.edu","Linux","Gone"," "," "," ","","666","2 physical, 8 logical","32107 ()"
"3595","pangaea02.serverfarm.cornell.edu","ESX","Gone","R524850","CIT","Systems & Operations","ljc1","0","Not Provided","Not Provided (245725)"
"3596","sf-infranode052.serverfarm.cornell.edu","Linux","Active","R524870","CIT","Systems & Operations","ljc1","79","2 physical, 2 logical","3828 (4096)"
"3597","sf-sas-db-008","Windows","Gone","G123008","SAS IT Enterprise","","sb21","109","1 Physical, 2 Logical","4095 (4096)"
"3598","sf-sas-db-009","Windows","Gone","G123008","SAS IT Enterprise","","sb21","109","1 Physical, 2 Logical","4095 (4096)"
"3599","sf-lib-web-008.serverfarm.cornell.edu","Linux","Active","L854711","DIGITAL LIBRARY AND INFORM TECH","","cam2","185","2 physical, 2 logical","3828 (4096)"
"3600","bmw113.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","726","2 physical, 2 logical","7868 (8192)"
