"id","name","os","status","account","dept","division","owner","storage","cpu","memory"
"3157","sf-en-gen-003","Windows","Active","E503129","ENGINEERING OIT","","da10","149","1 Physical, 1 Logical","4095 (4096)"
"3158","bmw084.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","155","2 physical, 2 logical","7868 (8192)"
"3159","sf-thompson13","Windows","Active","R524881","CIT","Systems & Operations","frb29","179","8 Physical, 8 Logical","16383 (16384)"
"3160","sf-thompson12","Windows","Gone","R524881","CIT","Systems & Operations","bnm3","179","2 Physical, 2 Logical","4095 (4096)"
"3161","bmw085.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","185","2 physical, 2 logical","3828 (4096)"
"3162","oxton120.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","185","2 physical, 2 logical","3828 (4096)"
"3163","cinquefoil2.serverfarm.cornell.edu","Linux","Active","R524870","CIT","Systems & Operations","ljc1","106","4 physical, 4 logical","7868 (8192)"
"3164","bmw086.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","jrc42","145","1 physical, 1 logical","5848 (6144)"
"3165","sf-fs-srv-014","Windows","Gone","G413704","FACILITIES OPERATIONS","","tdd29","159","2 Physical, 2 Logical","8191 (8192)"
"3166","sf-ecm-np002.serverfarm.cornell.edu","Linux","Active","R704750","CIT","Information Systems","vm57","86","2 physical, 2 logical","1873 (2048)"
"3167","oxton121.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","145","1 physical, 1 logical","3828 (4096)"
"3168","sf-sas-app-006","Windows","Gone","G123008","SAS IT Enterprise","","mm129","109","1 Physical, 1 Logical","2047 (2048)"
"3169","sf-as-data-003","Windows","Gone","A514114","COLLEGE OF ARTS AND SCIENCES","","rwg1","379","2 Physical, 2 Logical","8191 (8192)"
"3170","sf-agadcmp-001.serverfarm.cornell.edu","Linux","Gone","1003702","CALS","ADMIN COMPUTING - COLLEGEWIDE","map18","117","1 physical, 1 logical","3829 (4096)"
